name_cz,name_en,release_year
Nebe nad Berlínem,Wings of Desire,1987
Soumrak dne,The Remains of the Day,1993
Amarcord,,1973
Cyrano z Bergeracu,,1990
Pohraniční pásmo,J.S.A.: Joint Security Area,2000
Dům k pověšení,Time of the Gypsies,1988
Soumrak,,2002
Svědomí,Conscience,1948
Hilary a Jackie,Hilary and Jackie,1998
Ubožáci,,1982
Babka,Granny,2003
Keurosing,Crossing,2008
Bouřlivá dvacátá léta,The Roaring Twenties,1939
La traviata,,1982
Indiana Jones a Chrám zkázy,Indiana Jones and the Temple of Doom,1984
Krotitelé duchů,Ghostbusters,1984
Zápisník jedné lásky,The Notebook,2004
Souboj Titánů,Clash of the Titans,1981
Oppenheimer,Oppenheimer,2023
Sully: Zázrak na řece Hudson,Sully,2016
Maverick,Maverick,1994
Lovec jelenů,The Deer Hunter,1978
Volání o pomoc,Reign Over Me,2007
Příběh Alvina Straighta,The Straight Story,1999
Bílá paní,The White Lady,1965
Poslední pokušení Krista,The Last Temptation of Christ,1988
Roztomilý člověk,,1941
Elitní jednotka 2: Vnitřní nepřítel,Elite Squad: The Enemy Within,2010
Poslední mohykán,,1947
Mistrův syn,Drunken Master,1978
Cena za něžnost,Terms of Endearment,1983
Rozchod Nadera a Simin,A Separation,2011
